Place,County,Population,Population Density,Per capita income,Median household income,Median family income
Acalanes Ridge,Contra Costa,1226,2659.4,"$62,314 ","$160,000 ","$190,104 "
Acampo,San Joaquin,776,827.3,"$36,756 ","$141,250 ",[7]
Acton,Los Angeles,6956,177.2,"$39,131 ","$92,245 ","$99,448 "
Adelanto,San Bernardino,31773,567.3,"$9,998 ","$35,262 ","$35,537 "
Adin,Modoc,215,62.6,"$15,452 ","$29,583 ","$60,083 "
Agoura Hills,Los Angeles,20630,2647.2,"$50,242 ","$107,268 ","$118,673 "
Agua Dulce,Los Angeles,2898,126.8,"$37,538 ","$88,864 ","$102,989 "
Aguanga,Riverside,897,66,"$26,330 ","$50,213 ","$52,420 "
Ahwahnee,Madera,2165,216,"$34,915 ","$59,129 ","$69,583 "
Airport,Stanislaus,1547,2639.9,"$11,709 ","$21,607 ","$32,292 "
Alameda,Alameda,75763,7255.6,"$42,331 ","$76,439 ","$93,427 "
Alamo,Contra Costa,15639,1617.4,"$77,281 ","$163,151 ","$171,633 "
Albany,Alameda,19020,10637.6,"$40,426 ","$78,769 ","$91,967 "
Albion,Mendocino,295,162.5,"$23,881 ","$12,209 ","$62,500 "
Alderpoint,Humboldt,255,105,"$13,177 ","$32,688 ",[7]
Alhambra,Los Angeles,84400,11060.1,"$24,971 ","$53,195 ","$57,056 "
Alhambra Valley,Contra Costa,499,375.5,"$41,738 ","$62,000 ","$80,729 "
Aliso Viejo,Orange,49437,7145.1,"$44,986 ","$102,325 ","$122,390 "
Alleghany,Sierra,115,329.5,"$15,316 ","$37,663 ",[7]
Allendale,Solano,1613,262.9,"$50,026 ","$123,125 ","$145,799 "
Allensworth,Tulare,480,154.7,"$7,966 ","$25,625 ","$19,250 "
Almanor,Plumas,0,0,[7],[7],[7]
Alondra Park,Los Angeles,8833,7979.2,"$21,583 ","$55,263 ","$57,944 "
Alpaugh,Tulare,969,964.2,"$9,919 ","$26,927 ","$26,776 "
Alpine,San Diego,14580,544.4,"$37,365 ","$78,433 ","$92,257 "
Alpine Village,Alpine,105,37.4,"$27,154 ","$66,458 ","$115,417 "
Alta,Placer,369,154.8,"$29,864 ","$55,833 ","$61,389 "
Altadena,Los Angeles,44622,5120.7,"$42,089 ","$83,917 ","$94,886 "
Alta Sierra,Nevada,6902,829.5,"$34,823 ","$68,792 ","$78,983 "
Alto,Marin,678,5381,"$73,358 ","$62,235 ","$106,103 "
Alturas,Modoc,2714,1114.6,"$21,118 ","$31,087 ","$55,363 "
Alum Rock,Santa Clara,10992,12947,"$20,466 ","$70,202 ","$71,050 "
