zip,pop,pop_dens,med_house_inc,latitude,longitude,estCustAffected,duration_hours,cause_1,cause_2,cause_3,cause_4,cause_5,cause_6,cause_7,cause_8,cause_9
93202,4143,5342.0,40484.0,36.229021,-119.710422,15,1.4141388888888886,6,0,2,0,0,2,0,0,0
93203,20938,98.0,33147.0,35.07129693181816,-118.84127909090915,688,16.591565656565653,4,1,0,0,0,0,0,0,6
93204,15529,260.0,28794.0,35.971874444444445,-120.14597222222223,9,1.2542901234567898,6,0,2,0,0,1,0,0,0
93206,2300,15.0,43355.0,35.375085433789955,-119.392584303653,12,2.9009722222222223,9,2,0,0,0,1,0,0,0
93210,19504,25.0,47088.0,36.14673944646098,-120.3631271262041,224,2.4358187134502933,9,0,5,0,0,4,0,0,0
93212,26079,246.0,33756.0,36.07190920265781,-119.57413249169433,256,4.772083333333333,6,4,0,0,0,2,0,0,0
93224,451,20.0,60114.0,35.24615333333332,-119.61160666666666,16,8.724166666666667,2,1,0,0,0,0,0,0,0
93230,65264,249.0,52611.0,36.2532320053476,-119.61547173796794,254,4.514368686868687,3,2,5,0,0,1,0,0,0
93234,6987,87.0,23238.0,36.213266,-120.06055066666666,10,7.142500000000001,3,0,4,0,0,0,0,0,0
93239,1688,26.0,41912.0,36.01448,-119.96702000000002,1,1.5030555555555556,0,0,1,0,0,0,0,0,0
93241,17489,4240.0,32490.0,35.26289778359645,-118.9355648533069,463,2.6022988505747127,17,2,3,0,1,5,0,0,0
93242,3468,84.0,41325.0,36.43927450000001,-119.7110018333333,111,2.2079861111111105,7,1,0,0,0,4,0,0,0
93243,1699,11.0,64611.0,34.859903402777796,-118.88486979166666,2137,14.507222222222218,2,0,5,0,0,1,0,0,10
93245,37412,317.0,51850.0,36.29438875,-119.79455812499997,115,4.333715277777778,7,4,1,1,0,2,0,0,0
93249,2739,12.0,32768.0,35.68261,-119.84220875000001,69,1.895138888888889,6,0,0,0,0,1,0,0,0
93250,13522,160.0,35616.0,35.69125904761904,-119.26431428571429,423,1.1909325396825399,10,3,0,0,0,1,0,0,0
93251,270,2.0,38750.0,35.410897181818186,-119.64699573426574,93,3.066888888888889,2,0,0,0,0,2,0,0,0
93252,4176,6.0,31550.0,34.90183181818182,-119.55357090909094,10,3.4988888888888887,1,0,0,0,0,0,0,0,0
93254,811,6.0,37679.0,34.96557500000001,-119.6758675,980,3.3325694444444443,2,1,0,0,0,0,0,0,0
93256,5753,72.0,27305.0,35.99477,-119.43755999999998,2,1.498333333333333,2,0,0,0,0,0,0,0,0
93263,19582,216.0,41448.0,35.543935833333336,-119.29997000000003,163,2.554421296296297,13,3,3,0,1,3,0,0,0
93266,1587,28.0,28700.0,36.03515384615387,-119.73185628205131,3,8.108425925925927,1,1,0,0,0,1,0,0,0
93268,16897,403.0,45024.0,35.12979161490683,-119.45706839751554,3168,2.0770893719806764,17,0,2,0,0,3,0,0,0
93274,69721,326.0,44775.0,36.14717504240165,-119.50423083616,136,7.5770833333333325,1,2,0,0,0,1,0,0,0
93280,27152,84.0,39038.0,35.59061541666667,-119.50839583333335,12,3.332314814814815,1,0,1,0,0,0,0,0,0
93286,9548,112.0,39783.0,36.48761441176471,-119.12982029411762,91,2.0124264705882355,6,0,27,0,0,1,0,0,0
93287,119,2.0,58125.0,35.6478925,-118.823375,5,1.2527083333333335,0,0,4,0,0,0,0,0,0
93292,39032,359.0,53507.0,36.45265,-119.17705352941176,20,0.8019281045751634,0,0,17,0,0,0,0,0,0
93301,12248,2929.0,31721.0,35.3996754054054,-119.02410175675672,4548,2.118652402402401,45,5,3,1,0,14,0,0,1
93304,48731,6416.0,35059.0,35.3173058996851,-119.01812885290147,1370,1.7509722222222222,54,1,11,1,0,6,0,0,0
93305,37601,6336.0,31179.0,35.38609043599999,-118.95952455599999,7085,2.6154822222222225,67,12,16,3,0,20,0,0,1
93306,64587,733.0,54126.0,35.45849550032917,-118.85018655694532,61,15.058293650793653,4,0,1,0,0,2,0,0,6
93307,82658,595.0,33711.0,35.23667141666665,-118.80797805952382,66,8.416194444444445,3,0,0,0,0,3,0,0,3
93308,52447,166.0,42543.0,35.586175999999966,-118.940414,291,22.483000000000004,1,0,2,0,0,1,0,0,6
93309,58409,5487.0,47593.0,35.33612646002007,-119.07037420327315,8506,1.9640700483091798,37,4,5,0,0,15,0,0,0
93311,40829,241.0,86026.0,35.12078166666668,-119.14669999999997,134,7.779166666666668,0,2,2,0,0,1,0,0,1
93312,56741,3729.0,90495.0,35.4162485,-119.10926941666669,289,2.407152777777778,9,0,5,0,0,6,0,0,0
93313,43553,437.0,61226.0,35.16878013621794,-119.02842592788464,742,4.027083333333333,8,1,0,0,0,1,0,0,1
93314,22393,226.0,95830.0,35.35334439946019,-119.20790901908617,83,3.678203703703703,6,2,1,1,0,3,0,0,0
93401,28033,401.0,52730.0,35.18557533333333,-120.56749133333334,40,2.9338888888888888,5,1,6,0,0,3,0,0,0
93402,14318,492.0,57926.0,35.31278979166666,-120.8266026851852,228,3.0612654320987653,16,2,5,1,0,3,0,0,0
93405,35440,404.0,40697.0,35.28525632034632,-120.67957600865799,4338,2.745509259259259,19,1,5,0,0,5,0,0,0
93420,28413,152.0,67035.0,35.08925787096773,-120.39168103225802,57,7.8358888888888885,3,0,1,0,0,1,0,0,0
93422,31375,525.0,65657.0,35.53309815292223,-120.68495827485081,5942,2.6921135265700484,27,3,26,1,0,9,0,0,0
93426,1401,7.0,63594.0,35.898047777777776,-121.04861444444448,290,4.035617283950618,6,0,3,0,0,0,0,0,0
93427,5505,98.0,66628.0,34.61484300000001,-120.19710000000003,14,6.918472222222223,1,1,0,0,0,0,0,0,0
93428,6314,82.0,59813.0,35.642423547008555,-121.02902514245014,66,3.6854012345679013,6,1,2,0,0,0,0,0,0
93430,2972,41.0,55956.0,35.44017900000001,-120.89088,1388,2.366472222222222,7,0,1,0,1,1,0,0,0
93432,1384,15.0,60759.0,35.50072005803571,-120.51204610664682,535,4.583809523809523,17,3,6,0,0,2,0,0,0
93433,13162,6084.0,47271.0,35.12177881261595,-120.60787302411875,3431,3.1166893424036286,29,5,8,0,0,6,0,0,0
93434,7110,215.0,47518.0,34.9098,-120.56622000000003,144,3.194351851851852,1,1,2,0,0,1,0,0,0
93436,54017,247.0,52032.0,34.66067363636364,-120.43744272727277,48,6.8636616161616155,2,1,4,1,0,3,0,0,0
93437,3338,86.0,65142.0,34.69130916666666,-120.49121666666666,61,3.846087962962963,2,0,5,1,0,3,0,0,0
93442,10789,241.0,51010.0,35.38014749999999,-120.84840549999998,142,2.509333333333333,13,0,2,0,0,5,0,0,0
93444,19244,279.0,61751.0,35.02220604355717,-120.49330667876589,5013,4.052078544061302,19,2,2,0,2,4,0,0,0
93445,7173,427.0,43367.0,35.07415000000001,-120.573262,64,2.728638888888889,4,0,5,0,0,1,0,0,0
93446,43714,105.0,62529.0,35.71921150793651,-120.81832988095238,815,4.647391975308642,6,0,8,0,0,1,0,0,0
93449,7657,766.0,65859.0,35.164238965517235,-120.67670551724134,1456,2.506379310344828,9,0,15,0,0,5,0,0,0
93450,740,4.0,40469.0,36.04054666666668,-120.94314666666666,139,1.2810185185185186,1,0,1,0,0,1,0,0,0
93451,3779,7.0,55670.0,36.055942,-120.60588400000002,44,2.0345555555555555,2,0,2,0,0,1,0,0,0
93452,524,5.0,38333.0,35.585729464285706,-121.1221444345238,310,3.0502256944444444,8,2,3,0,0,2,0,0,0
93453,2899,5.0,58190.0,35.283419999999985,-120.30544666666658,6,6.664074074074075,0,0,3,0,0,0,0,0,0
93454,36448,85.0,50912.0,34.90039499999999,-120.20939999999999,9,4.1651388888888885,3,0,1,0,0,0,0,0,0
93455,41684,386.0,69602.0,34.86447301351352,-120.37878160810807,414,3.955705705705705,14,2,6,1,0,10,0,0,0
93458,55431,2025.0,44209.0,34.94122424789535,-120.45373915454965,638,2.9117121212121213,26,6,2,1,1,16,0,0,0
93460,5255,43.0,96071.0,34.56818,-119.94041,2,0.0,0,0,1,0,0,1,0,0,0
93461,1623,5.0,63750.0,35.637667500000006,-120.30451500000001,11,1.7097916666666664,2,0,2,0,0,0,0,0,0
93463,7646,253.0,66146.0,34.63932250978296,-120.10183973004088,1002,3.0397058823529415,14,0,10,1,0,9,0,0,0
93465,9153,104.0,80884.0,35.514055,-120.78731333333333,102,3.3268981481481474,1,0,4,0,0,1,0,0,0
93601,1909,43.0,53594.0,37.39465263736263,-119.7960814285714,202,2.6930982905982908,3,0,6,1,0,2,0,0,0
93602,3862,27.0,58168.0,37.10237999999999,-119.45155000000001,26,1.968308080808081,7,0,4,0,0,0,0,0,0
93608,1114,10.0,30523.0,36.4272675,-120.23100333333332,388,2.687314814814815,5,1,0,0,0,0,0,0,0
93609,5640,92.0,47361.0,36.512724,-119.90011022222222,1395,2.8013888888888885,6,0,2,1,0,1,0,0,0
93610,23833,88.0,40327.0,37.091475129629636,-120.26886381216933,83,1.600030864197531,12,1,2,0,0,3,0,0,0
93611,45614,4075.0,78482.0,36.821896009557946,-119.65269182691254,2701,3.108584229390682,17,1,7,1,0,4,0,0,0
93612,35351,5344.0,39801.0,36.80749535714285,-119.71270142857142,1066,0.8088492063492064,21,1,2,0,0,3,0,0,0
93614,11661,102.0,46551.0,37.20137285714286,-119.73647228571431,155,1.3149722222222222,5,0,3,0,0,1,0,0,0
93615,6042,361.0,27525.0,36.52779625,-119.28032749999998,32,1.2489583333333334,6,0,0,0,0,1,0,0,0
93616,2627,189.0,31108.0,36.703156666666665,-119.56367888888889,106,2.2966512345679013,7,2,7,0,0,1,0,0,0
93618,28262,424.0,38110.0,36.53887125000001,-119.39572312499999,1610,2.372482638888889,9,1,2,0,0,2,0,0,0
93619,28965,162.0,106235.0,36.84443714285714,-119.59039,25,0.7633333333333334,4,0,0,0,0,3,0,0,0
93620,9591,55.0,34579.0,37.063099471153855,-120.67372471153845,47,2.5206597222222222,9,1,0,0,0,5,0,0,0
93621,464,7.0,32014.0,36.908299999999606,-119.08628999999942,25,88.83333333333331,0,1,0,0,0,0,0,0,0
93622,9581,27.0,32865.0,36.83280899999999,-120.62055899999996,323,3.3313055555555557,3,2,2,0,1,2,0,0,0
93623,69,2.0,23269.0,37.49917766233765,-119.75151975881262,142,1.2281818181818183,4,1,3,0,0,1,0,0,0
93625,7313,296.0,45230.0,36.638194880952376,-119.6761075595238,75,2.2081250000000003,2,2,1,0,0,2,0,0,0
93626,1359,14.0,32560.0,36.98382333333333,-119.67827166666667,6,1.5579629629629632,5,0,1,0,0,0,0,0,0
93630,19162,123.0,48115.0,36.70809330517996,-120.09378062492203,651,2.768212560386473,17,1,1,1,1,1,0,0,0
93631,15941,199.0,55266.0,36.49759308024693,-119.5263153888889,70,2.5577361111111117,11,1,4,1,0,3,0,0,0
93635,38776,150.0,46933.0,37.0480311764706,-120.83812941176468,20,2.5309313725490195,5,2,0,0,0,7,0,0,0
93636,11908,61.0,74538.0,36.98139499999999,-119.88807833333333,6,1.7785185185185186,3,0,0,0,0,3,0,0,0
93637,37743,140.0,48974.0,36.89797466666666,-120.16351409876546,87,3.2781851851851855,6,6,0,2,0,0,0,0,0
93638,49068,517.0,37280.0,36.97958672809285,-120.0578902908576,1331,1.927987528344671,26,5,3,0,0,8,0,0,0
93640,11880,105.0,25019.0,36.79018705882353,-120.40231352941177,696,2.205833333333334,13,0,1,0,0,2,0,0,0
93641,595,19.0,33622.0,36.70323571428572,-119.00903142857143,8,1.118968253968254,3,0,3,0,0,1,0,0,0
93644,8637,93.0,43376.0,37.36011416666667,-119.62232833333333,19,1.4300462962962965,3,1,7,0,0,1,0,0,0
93645,318,6.0,61589.0,37.15008,-119.56920500000001,2,2.167777777777778,2,0,0,0,0,0,0,0,0
93646,10557,248.0,27906.0,36.68287457142858,-119.24249828571428,143,1.4946904761904765,7,2,58,0,0,2,0,0,0
93647,11874,111.0,33205.0,36.63792,-119.16387999999999,6,1.5340555555555553,3,0,2,0,0,0,0,0,0
93648,15719,685.0,35499.0,36.61068636363637,-119.5162445454545,1947,3.6806818181818186,4,0,3,0,2,2,0,0,0
93650,4055,5725.0,30205.0,36.83839095238095,-119.80142603174603,2168,2.1478703703703705,7,1,1,0,0,0,0,0,0
93651,1674,58.0,88080.0,37.014942666666656,-119.53162971428571,531,0.8492063492063495,13,0,92,0,0,0,0,0,0
93652,415,201.0,28750.0,36.590994090909085,-119.88685818181821,572,2.1591540404040415,15,1,2,1,0,2,0,0,0
93653,1229,5.0,60750.0,37.16588,-119.93831500000002,2,2.498611111111111,2,0,0,0,0,0,0,0,0
93654,29776,302.0,48817.0,36.61157153846155,-119.40679115384617,787,2.088760683760684,8,2,2,0,0,1,0,0,0
93656,6313,57.0,43864.0,36.405509140211635,-119.88650300352732,66,2.4110185185185187,7,3,1,0,0,2,0,0,0
93657,34999,164.0,47781.0,36.795910625000005,-119.3418684375,90,1.139071180555556,8,0,24,0,0,0,0,0,0
93660,4675,58.0,26978.0,36.55383066666667,-120.13404115555552,183,4.3125,5,2,0,0,1,1,0,0,0
93662,30237,384.0,43790.0,36.57482181818182,-119.60377363636363,14,1.5577777777777777,7,1,1,0,0,1,0,0,0
93664,585,3.0,78750.0,37.01175666666666,-118.98097999999999,4,2.2714814814814814,0,0,3,0,0,0,0,0,0
93667,2604,23.0,54459.0,36.97614758064516,-119.3781458064516,226,0.9300492831541218,2,0,59,0,0,0,0,0,0
93669,295,43.0,2499.0,37.28521115384615,-119.56003064102563,97,2.24284188034188,6,3,2,0,0,1,0,0,0
93675,3721,47.0,60743.0,36.768575277777785,-119.2585358333333,71,0.6253086419753086,7,0,28,0,0,1,0,0,0
93701,12529,8274.0,20201.0,36.75591962962964,-119.78769814814814,83,1.7469650205761322,19,0,4,0,0,4,0,0,0
93702,48607,9234.0,27372.0,36.73418383169934,-119.74614329248364,421,3.587984749455337,34,1,8,1,0,4,0,0,0
93703,31868,6741.0,28663.0,36.76792296296296,-119.75934296296298,50,1.1352674897119341,20,0,0,0,0,6,0,0,0
93704,27156,4955.0,45866.0,36.794095038115024,-119.80068756756756,2608,2.2790540540540545,25,1,2,0,3,4,0,0,0
93705,36703,7528.0,32485.0,36.78818571428571,-119.8347725,3504,1.392698412698413,20,0,1,0,1,5,0,0,0
93710,30202,4308.0,42286.0,36.82267763271163,-119.77227624080159,6503,2.6017728758169945,27,2,0,0,1,3,0,0,0
93711,36731,3248.0,65678.0,36.84657292045455,-119.84134442694806,276,1.7389236111111113,11,2,0,1,0,1,0,0,0
93720,45191,4538.0,75200.0,36.8760143137255,-119.77290570278636,52,1.8886111111111108,10,1,1,0,0,3,0,0,0
93721,6959,3395.0,16597.0,36.70840676470589,-119.79714176470587,166,1.7883169934640524,21,0,7,1,0,5,0,0,0
93722,76448,3903.0,55500.0,36.80299304347825,-119.88044347826089,606,2.2685990338164252,14,1,2,1,1,4,0,0,0
93723,9547,224.0,65045.0,36.79302808012821,-119.97616230769229,626,1.6217685185185189,23,2,1,1,0,2,0,0,0
93725,24979,382.0,35974.0,36.57459830718954,-119.7477325784314,2765,1.9700980392156864,13,0,1,1,0,1,0,0,0
93726,40705,6344.0,32796.0,36.7936102631579,-119.76152868421052,451,1.916673976608187,25,3,4,0,0,4,0,0,0
93727,71820,2209.0,45760.0,36.75144512,-119.67577816000001,242,1.8386444444444439,14,1,2,0,0,6,0,0,0
93728,15743,5145.0,32215.0,36.753436666666666,-119.8291721428571,129,1.689365079365079,28,1,3,0,0,6,0,0,0
93730,9941,1312.0,118396.0,36.92866105072463,-119.76093775362322,1656,3.959027777777778,0,2,1,0,0,1,0,0,0
93901,26863,1839.0,48514.0,36.668300997474745,-121.65688622474747,8229,2.2500771604938268,19,3,4,0,0,8,0,0,0
93905,61087,6564.0,41607.0,36.68000566666668,-121.61235433333333,387,2.883287037037037,22,1,3,0,0,3,0,0,1
93906,59461,4548.0,56358.0,36.74117217391304,-121.62748782608698,320,2.8330314009661834,9,1,2,0,0,5,0,0,2
93907,21726,403.0,68497.0,36.80782914193901,-121.66553305654297,4378,2.419096185737976,47,8,3,0,0,7,0,0,1
93908,13043,61.0,108093.0,36.59708894736841,-121.6054257894737,284,1.8158771929824564,10,2,0,1,0,3,0,0,0
93920,1369,4.0,81125.0,36.18040999999997,-121.69635,1,3.664444444444445,1,0,0,0,0,0,0,0,0
93923,12073,94.0,105714.0,36.429485185185186,-121.79665574074079,324,2.1982613168724283,20,2,3,1,0,1,0,0,0
93924,6279,33.0,88926.0,36.40010333333331,-121.61310666666668,20,9.776296296296298,2,1,0,0,0,0,0,0,0
93925,1671,31.0,70909.0,36.67627200000002,-121.27090400000002,527,12.437444444444445,1,0,0,0,0,1,0,0,3
93926,8726,147.0,50933.0,36.50207422763444,-121.43351972289204,7187,4.642878352490421,35,3,1,0,0,1,0,0,18
93927,17547,66.0,52642.0,36.21544166666666,-121.31883,29,2.1926851851851854,2,0,4,0,0,0,0,0,0
93930,15866,44.0,47262.0,36.1617362463257,-121.06565407434134,374,1.973662551440329,20,5,1,0,1,0,0,0,0
93933,22406,1743.0,52736.0,36.685484347222214,-121.77704483333333,22,3.042395833333334,4,0,0,0,0,3,0,0,0
93940,31615,1539.0,67513.0,36.53174879353233,-121.83087062189057,5976,0.5298880597014929,123,2,4,0,0,5,0,0,0
93950,15046,5251.0,71969.0,36.61754925925927,-121.91953703703702,223,3.183251028806584,18,3,1,0,0,4,0,0,0
93953,4509,561.0,100268.0,36.57542500000001,-121.93437281249996,36,3.0149305555555554,27,0,2,0,0,2,0,0,0
93955,33359,1181.0,55678.0,36.61537500000001,-121.81988571428572,51,2.5935317460317466,4,1,0,1,0,1,0,0,0
